id,number,team_name,robot_name,organization,city,region,country,program_id,program_name,grade
128562,58A,Dream Rover,,5D college,Chatswood,,Australia,1,VEX V5 Robotics Competition,Middle School
128884,588A,The Honoured One,,Sydney Robotics Academy,Chatswood,,Australia,1,VEX V5 Robotics Competition,Middle School
110196,4613U,Hazardous Hardware,Bob,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,Middle School
154731,46131E,46131E,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,Middle School
141836,1831B,King's Team Bravo,,The King's School,North Parramatta,,Australia,1,VEX V5 Robotics Competition,High School
141838,1831D,King's Team Delta,,The King's School,North Parramatta,,Australia,1,VEX V5 Robotics Competition,High School
141839,1831E,King's Team Echo,,The King's School,North Parramatta,,Australia,1,VEX V5 Robotics Competition,High School
153841,1831F,King's Team Foxtrot,,The King's School,North Parramatta,,Australia,1,VEX V5 Robotics Competition,High School
170273,1831N,King's Team November,,The King's School,North Parramatta,,Australia,1,VEX V5 Robotics Competition,High School
155033,1940A,High-Q,Shopping Trollee,Knox Grammar School,Wahroonga,,Australia,1,VEX V5 Robotics Competition,High School
155034,1940B,Poyo,,Knox Grammar School,Wahroonga,,Australia,1,VEX V5 Robotics Competition,High School
173863,1940C,Burnout,,Knox Grammar School,Wahroonga,,Australia,1,VEX V5 Robotics Competition,High School
110192,4613R,Barker Redbacks HS,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
123347,4613W,4613W,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
155963,18422B,Vexorion,Viod Strider,VALCAN,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
154524,27272S,Phoenix Tech S,,Creator Academy Pty Ltd,Eastwood,,Australia,1,VEX V5 Robotics Competition,High School
148608,46131B,46131B,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
154733,46131G,46131G,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
178613,46131P,Pink Panthers,,Barker College,Sydney,,Australia,1,VEX V5 Robotics Competition,High School
130913,47779F,GRANBOTS F,Granbot F,Granville Boys High School,Granville Nsw,,Australia,1,VEX V5 Robotics Competition,High School
175114,47779N,GRANBOTS N,Granbot N,Granville Boys High School,Granville Nsw,,Australia,1,VEX V5 Robotics Competition,High School
175122,47779P,GRANBOTS P,Granbot P,Granville Boys High School,Granville Nsw,,Australia,1,VEX V5 Robotics Competition,High School
173523,58058A,Knoxi,,Knox Grammar School,Wahroonga,,Australia,1,VEX V5 Robotics Competition,High School
141032,78887B,Knox Knights,,Knox Grammar School,Wahroonga,,Australia,1,VEX V5 Robotics Competition,High School
170652,83377A,Wallaby,,Australian Stem and Robotics Association,Gladesville,,Australia,1,VEX V5 Robotics Competition,High School
156429,13459A,Spark,Paraguay,Paraguay,Luque,,Paraguay,1,VEX V5 Robotics Competition,High School
160795,17410A,Arandu,Ñakurutu (Buho),COLEGIO TECNICO NACIONAL,Asuncion,,Paraguay,1,VEX V5 Robotics Competition,High School
137314,71832P,Riders,Riders,Academia de Robotica Pueblo,Asuncion,,Paraguay,1,VEX V5 Robotics Competition,High School
154260,1791V,JOINUS,,庫樂思機器人實驗所,Hsinchu,,Taiwan,1,VEX V5 Robotics Competition,High School
154673,2813B,NOVA,,CHINGSHIN ACADEMY,Taipei City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
172222,2813X,SUPER,,CHINGSHIN ACADEMY,Taipei City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
26050,4253B,Raid Zero B,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139144,4253R,Raid Zero R,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
89962,4253S,Raid Zero S,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139146,4253V,Raid Zero V,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139142,4253Y,Raid Zero Y,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
128387,4253Z,Raid Zero Z,,Taipei American School,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
86241,14683A,KCIS Robotics A,KCIS Robotics A,Kang Chiao International School,New Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
88058,14683B,KCIS Robotics B,MECH2,Kang Chiao International School,New Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
97851,14683C,KCIS Robotics C,KCIS Robotics C,Kang Chiao International School,New Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
97852,14683D,KCIS Robotics D,KCIS Robotics D,Kang Chiao International School,New Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
88843,17022A,Pangolin,,Happy Robot,New Taipei City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
155552,23083Y,GGWP,,臺北市私立薇閣高級中學,台北市,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
155525,23083Z,GGEZ,,臺北市私立薇閣高級中學,台北市,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
156481,35185A,Ocelot,,Yilan VEX Team,Yilan City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
172507,35185V,35185V,,Yilan VEX Team,Yilan City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
114405,39234A,GJ-VEX Robotics,,Ger-Jyh Senior High School,New Taipei City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
161226,58655A,IIS-Silver Retriever,,I-Shou International School,Kaohsiung City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139815,66001C,C.S. GO,,RoboTomas C.S.Robot,"Shilin Dist., Taipei City",,Chinese Taipei,1,VEX V5 Robotics Competition,High School
128353,66799G,AST-onishing G,,American School in Taichung,Taichung,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139440,66799X,AST-onishing X,,American School in Taichung,Taichung,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
172251,66994C,Capybara,,Dr. Player Robotic Lab . Taichung,Taichung City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
172253,66994S,Silent,,Dr. Player Robotic Lab . Taichung,Taichung City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
156641,68678S,Formosan Rock-Monkey,,FANCY DESIGN LIMITED,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
125352,68957T,Torque,,樂創機器人研究室,高雄市,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
179368,75663A,AAIA Lions,,Asia American International Academy,新北市,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139812,77701A,‍‍‍‍‍⠀⠀⠀⠀⠀,˹     ˼,IBSH - Curious Robotics,Hsinchu,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
139818,78181A,Genesis,John Queen,IBSH - Curious Robotics,Hsinchu,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
154192,88168A,Kakarot,,Happy Robot Taipei,Taipei City,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
172874,90065P,PTH Maker,,國立屏東高級中學,Pingtung,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
122141,92641A,BOLTS A,,Washington High School,Taichung,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
122142,92641B,BOLTS B,,Washington High School,Taichung,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
171118,96069X,INSANE WILD BOAR,,Artificial Intelligence Industry-Academia Development Center,Taipei,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
122019,96944B,Shark.GC,Shark,喬智創意機器人研究室,Yunlin,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
145628,96944X,Builder.GC,,喬智創意機器人研究室,Yunlin,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
140137,96944Z,Dreamers.GC,Dreamers,喬智創意機器人研究室,Yunlin,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
124050,96969W,Smooth Operator,,Pacific American School,Hsinchu,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
110276,96969X,PAS2,,Pacific American School,"Zhubei, Hsinchu County",,Chinese Taipei,1,VEX V5 Robotics Competition,High School
111390,96969Y,PAS1,,Pacific American School,"Zhubei, Hsinchu County",,Chinese Taipei,1,VEX V5 Robotics Competition,High School
111391,96969Z,Morpho,,Pacific American School,Hsinchu,,Chinese Taipei,1,VEX V5 Robotics Competition,High School
181607,30214A,ACORNS LEGENDS,,ACORNS INTERNATIONAL SCHOOL,Kampala,,Uganda,1,VEX V5 Robotics Competition,High School
145387,55692B,ASIST- Alpha Entity,ITR-Intelligent Robotics Terminator,"African School of Innovations, Science and Technology/e2 Young Engineers Kampala-Uganda",Kampala,,Uganda,1,VEX V5 Robotics Competition,High School
181608,67591A,CYBERKNIGHTS UGANDA,,SOROTI MUNICIPAL S.S,Soroti,,Uganda,1,VEX V5 Robotics Competition,High School
181609,67591B,CYBER STORMS,,SOROTI MUNICIPAL S.S,Soroti,,Uganda,1,VEX V5 Robotics Competition,High School
155897,316W,Wall-E,,Island Robotics,Waipahu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
1051,359B,Hawaiian Kids,Manini Poi Pounder 2,WAIALUA HIGH & INTERMEDIATE SCHOOL,Waialua,Hawaii,United States,1,VEX V5 Robotics Competition,High School
13993,1037A,Molokai Robotics,,MOLOKAI HIGH SCHOOL,Hoolehua,Hawaii,United States,1,VEX V5 Robotics Competition,High School
14035,1037B,Molokai Robotics,,MOLOKAI HIGH SCHOOL,Hoolehua,Hawaii,United States,1,VEX V5 Robotics Competition,High School
129078,1378V,Hilo Viking Robotics,Floki the misCHIEF Maker,HILO HIGH SCHOOL,Hilo,Hawaii,United States,1,VEX V5 Robotics Competition,High School
100385,2443B,Blue Thunder - Breakers,TUI,MAUI HIGH SCHOOL,Kahului,Hawaii,United States,1,VEX V5 Robotics Competition,High School
109528,2443C,Blue Thunder Circuits,Cassie,MAUI HIGH SCHOOL,Kahului,Hawaii,United States,1,VEX V5 Robotics Competition,High School
231,2459A,GOLDEN HAWKS ROBOTICS,,NANAKULI HIGH & INTERMEDIATE SCHOOL,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
236,2459B,Golden Hawks Robotics,Golden,NANAKULI HIGH & INTERMEDIATE SCHOOL,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
241,2459C,Golden Hawks Robotics,Golden,NANAKULI HIGH & INTERMEDIATE SCHOOL,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
331,3008A,Team Magma,,kalani High school,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
37192,3685A,Ahi Slayers,,Waianae High School - Searider Robotics,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
124359,3685C,DaKine,,WAIANAE HIGH SCHOOL,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
157986,3685D,Dreadnauts,,WAIANAE HIGH SCHOOL,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,High School
24235,4142A,Chargers,Thing 1,PEARL CITY HIGH SCHOOL,Pearl City,Hawaii,United States,1,VEX V5 Robotics Competition,High School
24640,4142B,H&M,CWS,PEARL CITY HIGH SCHOOL,Pearl City,Hawaii,United States,1,VEX V5 Robotics Competition,High School
63867,5968A,Cougar Tech,,KEAAU HIGH SCHOOL,Kea'au,Hawaii,United States,1,VEX V5 Robotics Competition,High School
122287,27180A,Mechaneers,,Hawaii Science and Technology Museum,Hilo,Hawaii,United States,1,VEX V5 Robotics Competition,High School
175479,27180G,Mechaneers,,Hawaii Science and Technology Museum,Hilo,Hawaii,United States,1,VEX V5 Robotics Competition,High School
71012,42700A,Atlas,Apple,ST LOUIS SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
129764,42700E,Enigma,Echo,ST LOUIS SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
169665,42700R,Rebound,Rebound,ST LOUIS SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
173595,42700W,Whiplash,Whiplash,ST LOUIS SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
141086,80852A,Royal Robotics,,HANALANI SCHOOLS,Mililani,Hawaii,United States,1,VEX V5 Robotics Competition,High School
143170,80852B,Royal Robotics,,HANALANI SCHOOLS,Mililani,Hawaii,United States,1,VEX V5 Robotics Competition,High School
147064,84141A,Kaiser Cougars,,HENRY J KAISER HIGH SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
147355,84141B,Kaiser Cougars,,HENRY J KAISER HIGH SCHOOL,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
153400,93607D,Dragon Mechs,,Pacific Buddhist Academy,Honolulu,Hawaii,United States,1,VEX V5 Robotics Competition,High School
162922,96768K,Ssspin,,KAMEHAMEHA SCHOOLS MAUI,Makawao,Hawaii,United States,1,VEX V5 Robotics Competition,High School
162925,96768S,ReadysetGo,,KAMEHAMEHA SCHOOLS MAUI,Makawao,Hawaii,United States,1,VEX V5 Robotics Competition,High School
169464,96789X,Mecha Xenon,,Mililani Mechs Robotics,Mililani,Hawaii,United States,1,VEX V5 Robotics Competition,High School
139380,96789Z,Mililani Mechs,,Mililani Mechs Robotics,Mililani,Hawaii,United States,1,VEX V5 Robotics Competition,High School
35815,2463A,Golden Hawks Intermediate,,Nanakuli Intermediate School,Waianae,Hawaii,United States,1,VEX V5 Robotics Competition,Middle School
23632,3590A,Hawaiian Kids,Mini Poi Pounder 1,WAIALUA HIGH & INTERMEDIATE SCHOOL,Waialua,Hawaii,United States,1,VEX V5 Robotics Competition,Middle School
23635,3590B,Hawaiian Kids,Mini Poi Pounder 2,WAIALUA HIGH & INTERMEDIATE SCHOOL,Waialua,Hawaii,United States,1,VEX V5 Robotics Competition,Middle School
53347,5864B,UNICORN,RX-0,Macau Baptist College,Macau,,Macau,1,VEX V5 Robotics Competition,High School
76348,5864C,CHICKEN ATTACK,Chicken Chicken,Macau Baptist College,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
80594,5864D,Serendipity,,Macau Baptist College,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
75958,5868C,REVOLUTION MAKER,,PUI CHING MIDDLE SCHOOL MACAU,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
75959,5868D,REVOLUTION MAKER,,PUI CHING MIDDLE SCHOOL MACAU,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
160313,5868H,(eisenberg),Juan,PUI CHING MIDDLE SCHOOL MACAU,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
127948,63936C,Lingnan C,,"Lingnan Middle School, Macau",Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
128021,63936D,Lingnan D,,"Lingnan Middle School, Macau",Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
183130,63936G,Lingnan G,,"Lingnan Middle School, Macau",Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
154822,68424A,Sugar Racing,Sugar Racing,Sheng Kung Hui Choi Kou School (Macau),Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
181957,68424W,CK V5RC ROBOT W,CK VRC ROBOT W,Sheng Kung Hui Choi Kou School (Macau),Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
182048,68424Y,CK V5RC ROBOT Y,CK VRC ROBOT Y,Sheng Kung Hui Choi Kou School (Macau),Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
169851,85301V,Generic,,The International School of Macao,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
169848,85301X,No!,,The International School of Macao,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
169847,85301Z,Yes!,,The International School of Macao,Macau,,"Macau, China",1,VEX V5 Robotics Competition,High School
171838,383D,Dagr - Lowndes Viking Robotics,Dagr,LOWNDES HIGH SCHOOL,Valdosta,Georgia,United States,1,VEX V5 Robotics Competition,High School
82975,383H,Helheim - Lowndes Viking Robotics,Helheim,LOWNDES HIGH SCHOOL,Valdosta,Georgia,United States,1,VEX V5 Robotics Competition,High School
45283,383M,Mimir - Lowndes Viking Robotics,Mimir,Lowndes High School,Valdosta,Georgia,United States,1,VEX V5 Robotics Competition,High School
6221,675A,Robodragons Alpha,Robodragons Alpha,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States,1,VEX V5 Robotics Competition,High School
13552,675B,675 Bumblebees,Robodragons Bravo,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States,1,VEX V5 Robotics Competition,High School
13555,675C,675 Centurions,Robodragons Charlie,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States,1,VEX V5 Robotics Competition,High School
20494,675E,Robodragons Echo,Robodragons Echo,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States,1,VEX V5 Robotics Competition,High School
56955,675F,Robodragons Foxtrot,Robodragons Foxtrot,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States,1,VEX V5 Robotics Competition,High School
39394,1235A,Wolverines,Wolverines,WEST FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
12997,1235D,Ski Buddies,The Wolverine,West Forsyth High School,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
37705,1275C,Chamblee High School,Chamblee Bulldogs -Crimson Cobras,CHAMBLEE CHARTER HIGH SCHOOL,Chamblee,Georgia,United States,1,VEX V5 Robotics Competition,High School
56900,1275D,Chamblee Charter High Sch,Chamblee Bulldogs 4,CHAMBLEE CHARTER HIGH SCHOOL,Chamblee,Georgia,United States,1,VEX V5 Robotics Competition,High School
66898,1275E,Chamblee Charter High Sch,Chamblee Bulldogs   Brown Bandits,CHAMBLEE CHARTER HIGH SCHOOL,Chamblee,Georgia,United States,1,VEX V5 Robotics Competition,High School
13261,1292A,Lakeside High School,The Animal,LAKESIDE HIGH SCHOOL,Atlanta,Georgia,United States,1,VEX V5 Robotics Competition,High School
18745,1356B,Parkview Bane,Bane,PARKVIEW HIGH SCHOOL,Lilburn,Georgia,United States,1,VEX V5 Robotics Competition,High School
21538,1961A,SFHS Eaglebots A,Argon,SOUTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
35707,1961D,SFHS Eaglebots D,,South Forsyth High School,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
133261,1961Y,SFHS Eaglebots Y,War Machine,SOUTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
95386,1961Z,SFHS Eaglebots Z,,SOUTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
41752,2105B,Swampbotics,B Bot,WARE COUNTY HIGH SCHOOL,Waycross,Georgia,United States,1,VEX V5 Robotics Competition,High School
155521,2771X,《XR》,Jit,Unknown Robotics,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
83959,3142C,Cuties,QuikTrip,PAIDEIA SCHOOL,Atlanta,Georgia,United States,1,VEX V5 Robotics Competition,High School
160948,3142F,Elves on Break,Santa,Paideia School,Atlanta,Georgia,United States,1,VEX V5 Robotics Competition,High School
116273,3142W,Whale,Whale,Paideia School,Atlanta,Georgia,United States,1,VEX V5 Robotics Competition,High School
81435,3536P,Purple People Eaters,Purple People Eaters,NORTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
1846,3536S,Raider Robotics,3536S,NORTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
129610,3536V,Vortex,Vortex,NORTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
13015,3536X,Hybrid Theory,Chester,NORTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
56697,5203G,Gremlin,Gremlin,OLA HIGH SCHOOL,Mcdonough,Georgia,United States,1,VEX V5 Robotics Competition,High School
14404,5278A,Atlas,Atlas,BROOKWOOD HIGH SCHOOL,Snellville,Georgia,United States,1,VEX V5 Robotics Competition,High School
49188,5278D,Doubled,Doubled,BROOKWOOD HIGH SCHOOL,Snellville,Georgia,United States,1,VEX V5 Robotics Competition,High School
171251,7009X,//Xcceleration//,,Tech360,Suwanee,Georgia,United States,1,VEX V5 Robotics Competition,High School
117641,8682A,Apollo,,Newton College and Career Academy,Covington,Georgia,United States,1,VEX V5 Robotics Competition,High School
69225,8682C,Crimson Dragons,,Newton College and Career Academy,Covington,Georgia,United States,1,VEX V5 Robotics Competition,High School
57904,8682N,Nighthawks,,Newton College and Career Academy,Covington,Georgia,United States,1,VEX V5 Robotics Competition,High School
156435,12954G,4-H DawgBytes - Homer,Homer,Walker County 4-H,Lafayette,Georgia,United States,1,VEX V5 Robotics Competition,High School
172880,12954H,4-H DawgBytes,,Walker County 4-H,Lafayette,Georgia,United States,1,VEX V5 Robotics Competition,High School
94235,33344A,Ainoway,Ammonia,Whitewater High School,Fayetteville,Georgia,United States,1,VEX V5 Robotics Competition,High School
96309,33344C,Catastrophe,Bongo,Whitewater High School,Fayetteville,Georgia,United States,1,VEX V5 Robotics Competition,High School
183759,35361A,Phantom,Phantom,NORTH FORSYTH HIGH SCHOOL,Cumming,Georgia,United States,1,VEX V5 Robotics Competition,High School
123872,37116B,Rooster City Robotics,Malicious Maiden,FITZGERALD HIGH SCHOOL COLLEGE & CAREER ACADEMY,Fitzgerald,Georgia,United States,1,VEX V5 Robotics Competition,High School
124618,37116C,Rooster City Robotics,,FITZGERALD HIGH SCHOOL COLLEGE & CAREER ACADEMY,Fitzgerald,Georgia,United States,1,VEX V5 Robotics Competition,High School
131950,57346A,Kings Robotics A,TKA 57346A,THE KING'S ACADEMY,Woodstock,Georgia,United States,1,VEX V5 Robotics Competition,High School
